متن سوال,گزینه ۱,گزینه ۲,گزینه ۳,گزینه ۴,گزینه صحیح,لینک تصویر
 این تابلو بیانگر چیست؟,جهت عبور در میدان,عبور از سمت راست مجاز,عبور به چپ مجاز,عبور از هر دو سمت مجاز,عبور از هر دو سمت مجاز,blob:https://web.telegram.org/57fd0252-fe05-4c59-ba2b-9b56cffa7b15
کدامیک از موارد زیر در خصوص عبور از روی خط آهن صحیح می باشد؟,در حین عبور از خط آهن بایستی دنده خودرو را از دنده سبک به دنده سنگین تغییر داد.,قبل از رسیدن به خط آهن باید سرعت را افزایش داده و با سرعت از خط آهن عبور نمود.,در حین عبور از خط آهن دنده خودرو را از دنده سنگین به دنده سبک تغییر داد.,در حین عبور از خط آهن بایستی از تعویض دنده خودداری نمود.,در حین عبور از خط آهن بایستی از تعویض دنده خودداری نمود.,
این تابلو بیان گر چیست؟,فقط عبور پیاده,عبور عابر پیاده و همراه,عابر پیاده,گذرگاه پیاده,فقط عبور پیاده,blob:https://web.telegram.org/d737d52f-0ef0-475a-94e7-48b9983859f4
تابلوی توقف ممنوع کدام گزینه می باشد؟,1,2,3,4,2,blob:https://web.telegram.org/26774e05-ad62-4317-a850-3c5243d3843a
کدامیک از موارد زیر جز سیستم اگزوز خودرو میباشد؟,کاتالیست,فن,نشانگر سوخت,فیلتر هوا,کاتالیست,
تابلو های هشدار دهنده یا … بیشتر به صورت … با نوار حاشیه … رنگ و زمینه … رنگ می باشد.,اخطاری - مثلث - قرمز – سفید,اخطاری - مربع - قرمز - سفید,اخباری - دایره - قرمز – آبی,انتظامی - پنج ضلعی - قرمز – سفید,اخطاری - مثلث - قرمز – سفید,
استفاده از حداقل سرعت مجاز برای کلیه وسایل نقلیه صرفا در …,خط عبوری سمت چپ راست جانب شانه آزادراه مجاز می باشد.,خط عبوری سمت راست جانب شانه آزادراه مجاز می باشد.,تمامی خط عبور مجاز می باشد., بستگی به نوع وسیله نقلیه دارد.,خط عبوری سمت راست جانب شانه آزادراه مجاز می باشد.,
"کدام تابلو، تقاطع راه آهن بدون راهبند را اعلام می دارد؟",1,2,3,4,2,blob:https://web.telegram.org/c4793fbc-3ae0-4f8c-9a91-96b0b034785a
عنوان این تابلو چیست؟,عبور گاری ممنوع,عبور کامیون ممنوع,عبور کامیون یدک دار ممنوع,عبور خودرو با یدک ممنوع,عبور خودرو با یدک ممنوع,blob:https://web.telegram.org/a1e2e2df-68e0-4427-9881-00bbc75bece7
عنوان این تابلو چیست؟,عبور وسایل نقلیه موتوری ممنوع,عبور وسایل نقلیه ممنوع,عبور سواری ممنوع,عبور سواری شخصی ممنوع,عبور سواری ممنوع,blob:https://web.telegram.org/cf5fde48-5321-4bf2-bd25-ff99fbf8b41e
تابلوی پایین یعنی … ؟,رعایت حق تقدم,ورود ممنوع,توقف ممنوع,ایست,ایست,blob:https://web.telegram.org/25ba0600-23fd-4c0e-848a-be48aa5a5b65
تابلوی عبور وسایل نقلیه موتوری ممنوع کدام گزینه می باشد؟,1,2,3,4,2,blob:https://web.telegram.org/18d95c7f-3df2-4fea-86a4-b8dfd7381608
استفاده از بوق در کدامیک از موارد زیر مجاز است؟,اطلاع و آگاه سازی سایر کاربران راه و جلوگیری از بروزسانحه و خطر,اطلاع و آگاه سازی برای ادای احترام به سایر کاربران راه,برای کاهش شدت تصادفات,برای کاهش شدت تصادفات و آگاهی سایر کاربران راه,اطلاع و آگاه سازی سایر کاربران راه و جلوگیری از بروزسانحه و خطر,
نام این تابلو چیست؟,شانه خطرناک,برآمدگی,پل متحرک,راه لغزنده,شانه خطرناک,blob:https://web.telegram.org/348f206f-60d1-4ba2-807b-9076efafb3a1
در چه فاصله ای از تقاطع و میادین توقف وسایل نقلیه ممنوع است؟,15 متری,20 متری,30 متری,۵ متری,15 متری,
این تابلو بیانگر چیست؟,فقط عبور پیاده,فقط عبور دوچرخه و پیاده,گذرگاه پیاده,عبور اطفال,گذرگاه پیاده,blob:https://web.telegram.org/e27f03dd-a68e-4384-a26b-21091708d383
در کدامیک از محل های زیر ایستادن یا توقف مجاز است؟,در فاصله 10 متری تقاطع,خطوط پارک,روی پل ها,پیاده رو گذرگاه پیاده,خطوط پارک,
 نام این تابلو چیست؟,عبور حیوانات اهلی,پایان منطقه مسکونی,عبور حیوانات وحشی,فقط عبور آهو,عبور حیوانات وحشی,blob:https://web.telegram.org/f92b2fa8-9471-431d-8811-b05882a3f20e
این تابلو بیانگر چیست؟,عبور دوچرخه ممنوع,بوق زدن ممنوع,فقط عبور دوچرخه و پیاده,مدرسه,عبور دوچرخه ممنوع,blob:https://web.telegram.org/4660611a-faf1-46a7-b836-6a1a7fbc1427
